,rho,eta.1,eta.2,delta,mu,sigma.sq,CIrho,CIeta.1,CIeta.2,CIdelta,CImu,CIsigma.sq
result.1,5.024727329,0.868928116,2.996168696,-2.443148136,-26.25934702,105.6115502,1,1,1,0,0,1
result.2,4.045752509,0.854053567,2.825658124,-2.495566977,-25.04040738,93.05154127,1,1,1,0,0,1
result.3,4.33978593,0.918967287,4.223619596,-0.30919102,-6.917693814,97.36274579,1,1,1,1,1,1
result.4,5.105058617,0.892134788,3.260011188,-2.710089185,-28.65921089,88.77794231,1,1,1,0,0,0
result.5,4.148753825,0.983003895,3.200572103,-1.65112595,-14.08532373,89.50922693,1,0,1,1,1,0
result.6,6.104951746,0.947174631,2.39656235,-1.091355973,-7.708983089,104.9071285,1,1,1,1,1,1
result.7,4.291576863,0.840665868,3.004712733,-2.295375079,-27.03296442,107.9611296,1,1,1,0,0,1
result.8,5.176671506,0.925743888,1.922906509,-2.157221241,-26.54455767,105.3680418,1,1,1,0,0,1
result.9,3.382421582,0.956077221,3.972748129,-2.533772612,-26.09280241,95.80534952,1,0,1,1,1,1
result.10,5.681075572,0.901450527,3.112444626,-0.416953244,-4.490291681,106.4275035,1,1,1,1,1,1
result.11,5.877959334,0.921551674,3.201893928,-1.066889903,-9.984254435,105.4457022,1,1,1,1,1,1
result.12,4.680491975,0.899540282,2.574551043,-2.375964196,-28.48054424,97.99037479,1,1,1,0,0,1
result.13,6.760863298,0.818349783,2.443872409,-2.358710828,-23.39778613,101.2832193,0,1,1,0,0,1
result.14,4.72623112,0.884406607,3.26226219,-2.609725667,-27.85663451,108.0393031,1,1,1,0,0,1
result.15,4.542620515,0.955831089,2.801069378,-1.235866355,-12.32048129,89.78865925,1,0,1,1,1,0
result.16,4.097724462,0.909886679,3.924282471,-2.701515668,-27.91432484,85.28827566,1,1,1,0,0,0
result.17,5.578513907,0.868766571,2.347716825,-2.145518298,-22.04349592,99.58308925,1,1,1,0,0,1
result.18,6.383596241,0.854204928,2.487835203,-2.401563681,-25.48658971,102.0029459,1,1,1,0,0,1
result.19,5.601167552,0.845605514,3.823499117,-2.866054828,-27.22096289,103.8307152,1,1,1,0,0,1
result.20,3.955582305,0.928876756,3.089546288,-2.540857411,-27.60202348,88.99551452,1,1,1,0,0,0
result.21,3.900947629,0.928848685,3.62062341,-2.622065463,-28.50350674,104.0739903,1,1,1,0,0,1
result.22,5.37935551,0.913630072,3.792269704,-1.923856228,-14.9679298,104.3117883,1,1,1,1,1,1
result.23,4.05548571,0.928679242,3.781587466,-0.106719941,-3.484412843,98.56746309,1,1,1,1,1,1
result.24,6.518081405,0.921911445,1.967288391,-0.69529517,-6.005017781,92.65210758,1,1,1,1,1,1
result.25,7.269759539,0.822209839,2.970966299,-2.66027939,-27.21684413,111.9970414,0,1,1,0,0,0
result.26,4.798522203,0.962418086,1.888791445,-1.826189715,-18.41379129,91.82171066,1,0,1,1,1,1
result.27,4.91025401,0.898204811,2.654267825,-2.13225015,-23.7534035,95.51054808,1,1,1,0,0,1
result.28,5.443819175,0.943473045,1.445359521,-1.088596013,-9.159257472,93.35897388,1,1,1,1,1,1
result.29,3.914777891,0.972303874,3.154313712,-1.239508858,-9.601897942,100.1870189,1,0,1,1,1,1
result.30,6.158137919,0.909222462,2.679111192,-0.568064461,-6.463690513,101.0575063,1,1,1,1,1,1
result.31,4.810721928,0.90284351,2.955638051,0.05626336,-3.411557323,85.05163815,1,1,1,1,1,0
result.32,6.149304444,0.806748826,2.463871155,-2.392767934,-25.46255727,100.5982825,1,0,1,0,0,1
result.33,3.652984826,0.928884333,3.010190527,-2.475845932,-26.02001417,90.16380473,1,1,1,0,0,1
result.34,5.959770686,0.895192574,3.908616142,-0.397392158,-8.743409808,92.9843817,1,1,1,1,1,1
result.35,5.202402874,0.925102949,3.801294754,-0.616010997,-8.252742415,93.61721236,1,1,1,1,1,1
result.36,6.065195203,0.903646578,2.83160478,-2.842509697,-29.20686492,107.2027911,1,1,1,0,0,1
result.37,5.521386757,0.931998735,3.203373689,-0.71864536,-9.05001315,92.15333653,1,1,1,1,1,1
result.38,4.553994824,0.944482633,2.820729767,-1.498173875,-11.71100417,98.35532322,1,1,1,1,1,1
result.39,5.127302942,0.869024191,3.283492914,-2.556732383,-26.80247081,95.07203903,1,1,1,0,0,1
